,id,speaker,date,title
17,PzedrN-PqqY,biden,2020-08-23T19:52:20Z,Joe Biden speech Democratic national convention 2020
18,ThKsSRycppE,trump,2020-08-23T21:53:03Z,"President Donald Trump holds news conference: August 23, 2020"
19,lZ9a0hgjCaI,trump,2020-08-23T21:56:52Z,"LIVE: Trump holds press conference in Washington, DC"
20,H0e_Tonhyiw,trump,2020-08-23T23:23:39Z,Live Stream President Trump delivers remarks at the 2020 Council for National Policy
21,12bYkx2cNWg,trump,2020-08-24T20:47:51Z,President Trump Remarks in North Carolina .. 8/24/2020
22,n1MjW2dEHqo,trump,2020-08-24T23:16:45Z,"Remarks: Donald Trump Delivers Remarks at Flavor First Growers in North Carolina - August 24, 2020"
23,rr-lh_TegUY,trump,2020-08-25T02:18:06Z,President Trump Delivers Remarks on Farmers to Families Food Box Program Distribution | farmers
24,pabV-hEiYwY,trump,2020-08-25T08:00:54Z,🔴 PPRESIDENT TRUMP Delivers REMARKS  in North CAROLINA on Farmers to Families FOOD BOX PROGRAM...
25,jw-zyHir_nc,trump,2020-08-25T08:32:37Z,President Donald Trump Delivers Remarks on Farmers to Families Food Box Program Distribution
26,xLoKJ0LLNpA,trump,2020-08-25T11:43:49Z,"RNC 2020 Day1: President Trump Speech at in Charlotte, North Carolina"
27,mTdNpHld7M4,trump,2020-08-25T16:41:40Z,"Remarks: Donald Trump Holds a Virtual Florida Tele-Rally - August 19, 2020"
28,oDbrvKNMLmo,harris,2020-08-26T20:31:55Z,"Kamala Harris responds to Jacob Blake shooting, Kenosha protests"
29,H1_iSMi8TjQ,pence,2020-08-27T03:18:31Z,Vice President Mike Pence delivers speech during Night 3 of Republican National Convention
30,fHFc4Wlo-ZU,pence,2020-08-27T03:56:35Z,Vice President Mike Pence full remarks at the 2020 Republican National Convention
31,phExlTrOI3M,pence,2020-08-27T04:03:04Z,Mike Pence delivers speech at the Republican National Convention | Full
